Organisation;Service;Jeu de données initial;Resource initiale;Jeu de données fusionné;Resource après fusion
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPOT SUR LE REVENU (Revenus de 2007) REPARTITION ENTRE IMPOSABLES ET NON IMPOSABLES DU NOMBRE DE FOYERS, DU MONTANT DU REVENU FISCAL DE REFERENCE ET DE L' IMPOT CORRESPONDANT 2008;;IMPÔT SUR LE REVENU - REPARTITION ENTRE IMPOSABLES ET NON IMPOSABLES DU NOMBRE DE FOYERS, DU MONTANT DU REVENU FISCAL DE REFERENCE ET DE L' IMPOT CORRESPONDANT;IMPOT SUR LE REVENU (Revenus de 2007) REPARTITION ENTRE IMPOSABLES ET NON IMPOSABLES DU NOMBRE DE FOYERS, DU MONTANT DU REVENU FISCAL DE REFERENCE ET DE L' IMPOT CORRESPONDANT 2008
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPOT SUR LE REVENU (Revenus de 2007) RÉPARTITION DE L'ENSEMBLE DES FOYERS (IMPOSABLES ET NON IMPOSABLES) PAR TRANCHE DU BARÊME 2008;;IMPÔT SUR LE REVENU - RÉPARTITION DE L'ENSEMBLE DES FOYERS (IMPOSABLES ET NON IMPOSABLES) PAR TRANCHE DU BARÊME;IMPOT SUR LE REVENU (Revenus de 2007) RÉPARTITION DE L'ENSEMBLE DES FOYERS (IMPOSABLES ET NON IMPOSABLES) PAR TRANCHE DU BARÊME 2008
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPOT SUR LE REVENU (Revenus de 2007) RÉPARTITION DES FOYERS FISCAUX IMPOSABLES PAR NOMBRE DE PARTS ET PAR TRANCHE DE REVENU 2008;;IMPÔT SUR LE REVENU - RÉPARTITION DES FOYERS FISCAUX IMPOSABLES PAR NOMBRE DE PARTS ET PAR TRANCHE DE REVENU;IMPOT SUR LE REVENU (Revenus de 2007) RÉPARTITION DES FOYERS FISCAUX IMPOSABLES PAR NOMBRE DE PARTS ET PAR TRANCHE DE REVENU 2008
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPOT SUR LE REVENU (Revenus de 2007) RÉPARTITION DES FOYERS FISCAUX NON IMPOSABLES PAR NOMBRE DE PARTS ET PAR TRANCHE DE REVENU 2008;;IMPÔT SUR LE REVENU - RÉPARTITION DES FOYERS FISCAUX NON IMPOSABLES PAR NOMBRE DE PARTS ET PAR TRANCHE DE REVENU;IMPOT SUR LE REVENU (Revenus de 2007) RÉPARTITION DES FOYERS FISCAUX NON IMPOSABLES PAR NOMBRE DE PARTS ET PAR TRANCHE DE REVENU 2008
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPOT SUR LE REVENU (Revenus de 2007) RÉPARTITION PAR TRANCHE D'IMPOT NET 2008;;IMPÔT SUR LE REVENU - RÉPARTITION PAR TRANCHE D'IMPOT NET;IMPOT SUR LE REVENU (Revenus de 2007) RÉPARTITION PAR TRANCHE D'IMPOT NET 2008
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPOT SUR LE REVENU (revenus de 2007) DENOMBREMENT DES FOYERS FISCAUX PAR TRANCHE DE REVENU FISCAL DE REFERENCE (FOYERS IMPOSABLES ET NON IMPOSABLES) 2008;;IMPÔT SUR LE REVENU - DENOMBREMENT DES FOYERS FISCAUX PAR TRANCHE DE REVENU FISCAL DE REFERENCE (FOYERS IMPOSABLES ET NON IMPOSABLES);IMPOT SUR LE REVENU (revenus de 2007) DENOMBREMENT DES FOYERS FISCAUX PAR TRANCHE DE REVENU FISCAL DE REFERENCE (FOYERS IMPOSABLES ET NON IMPOSABLES) 2008
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPOT SUR LE REVENU (revenus de 2007) DENOMBREMENT PAR TRANCHE D'IMPOT DES FOYERS FISCAUX IMPOSABLES 2008;;IMPÔT SUR LE REVENU - DENOMBREMENT PAR TRANCHE D'IMPOT DES FOYERS FISCAUX IMPOSABLES;IMPOT SUR LE REVENU (revenus de 2007) DENOMBREMENT PAR TRANCHE D'IMPOT DES FOYERS FISCAUX IMPOSABLES 2008
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPOT SUR LE REVENU (revenus de 2007) MONTANT DES CHARGES DECLAREES A DEDUIRE DU REVENU BRUT GLOBAL (FOYERS FISCAUX IMPOSABLES ET NON IMPOSABLES) 2008;;IMPÔT SUR LE REVENU - MONTANT DES CHARGES DECLAREES A DEDUIRE DU REVENU BRUT GLOBAL (FOYERS FISCAUX IMPOSABLES ET NON IMPOSABLES);IMPOT SUR LE REVENU (revenus de 2007) MONTANT DES CHARGES DECLAREES A DEDUIRE DU REVENU BRUT GLOBAL (FOYERS FISCAUX IMPOSABLES ET NON IMPOSABLES) 2008
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPOT SUR LE REVENU (revenus de 2007) NOMBRE DE FOYERS BENEFICIAIRES DE LA PRIME POUR L'EMPLOI ET MONTANTS CORRESPONDANTS (FOYERS FISCAUX IMPOSABLES ET NON IMPOSABLES) 2008;;IMPÔT SUR LE REVENU - NOMBRE DE FOYERS BENEFICIAIRES DE LA PRIME POUR L'EMPLOI ET MONTANTS CORRESPONDANTS (FOYERS FISCAUX IMPOSABLES ET NON IMPOSABLES);IMPOT SUR LE REVENU (revenus de 2007) NOMBRE DE FOYERS BENEFICIAIRES DE LA PRIME POUR L'EMPLOI ET MONTANTS CORRESPONDANTS (FOYERS FISCAUX IMPOSABLES ET NON IMPOSABLES) 2008
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPOT SUR LES SOCIETES REPARTITION SECTORIELLE DU NOMBRE DE SOCIETES PASSIBLES DE L'IS - ANNEE 2008 -;;IMPOT SUR LES SOCIETES REPARTITION SECTORIELLE DU NOMBRE DE SOCIETES PASSIBLES DE L'IS;IMPOT SUR LES SOCIETES REPARTITION SECTORIELLE DU NOMBRE DE SOCIETES PASSIBLES DE L'IS - ANNEE 2008 -
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPÔT SUR LE REVENU (revenus de 2008) DÉCOMPOSITION DES REVENUS CATÉGORIELS DÉCLARÉS 2009;;IMPÔT SUR LE REVENU - DÉCOMPOSITION DES REVENUS CATÉGORIELS DÉCLARÉS;IMPÔT SUR LE REVENU (revenus de 2008) DÉCOMPOSITION DES REVENUS CATÉGORIELS DÉCLARÉS 2009
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPÔT SUR LE REVENU (revenus de 2008) DÉNOMBREMENT DES FOYERS FISCAUX PAR TRANCHE DE REVENU FISCAL DE RÉFÉRENCE (FOYERS IMPOSABLES ET NON IMPOSABLES) 2009;;IMPÔT SUR LE REVENU - DENOMBREMENT DES FOYERS FISCAUX PAR TRANCHE DE REVENU FISCAL DE REFERENCE (FOYERS IMPOSABLES ET NON IMPOSABLES);IMPÔT SUR LE REVENU (revenus de 2008) DÉNOMBREMENT DES FOYERS FISCAUX PAR TRANCHE DE REVENU FISCAL DE RÉFÉRENCE (FOYERS IMPOSABLES ET NON IMPOSABLES) 2009
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPÔT SUR LE REVENU (revenus de 2008) DÉNOMBREMENT PAR TRANCHE D'IMPÔT DES FOYERS FISCAUX IMPOSABLES 2009;;IMPÔT SUR LE REVENU - DENOMBREMENT PAR TRANCHE D'IMPOT DES FOYERS FISCAUX IMPOSABLES;IMPÔT SUR LE REVENU (revenus de 2008) DÉNOMBREMENT PAR TRANCHE D'IMPÔT DES FOYERS FISCAUX IMPOSABLES 2009
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPÔT SUR LE REVENU (revenus de 2008) MONTANT DES CHARGES DECLARÉES OUVRANT DROIT À RÉDUCTION D'IMPÔT (FOYERS FISCAUX IMPOSABLES ET NON IMPOSABLES) 2009;;IMPÔT SUR LE REVENU - MONTANT DES CHARGES DECLAREES OUVRANT DROIT A REDUCTION D'IMPOT (FOYERS FISCAUX IMPOSABLES ET NON IMPOSABLES);IMPÔT SUR LE REVENU (revenus de 2008) MONTANT DES CHARGES DECLARÉES OUVRANT DROIT À RÉDUCTION D'IMPÔT (FOYERS FISCAUX IMPOSABLES ET NON IMPOSABLES) 2009
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPÔT SUR LE REVENU (revenus de 2008) MONTANT DES CHARGES DECLARÉES À DÉDUIRE DU REVENU BRUT GLOBAL (FOYERS FISCAUX IMPOSABLES ET NON IMPOSABLES) 2009;;IMPÔT SUR LE REVENU - MONTANT DES CHARGES DECLAREES A DEDUIRE DU REVENU BRUT GLOBAL (FOYERS FISCAUX IMPOSABLES ET NON IMPOSABLES);IMPÔT SUR LE REVENU (revenus de 2008) MONTANT DES CHARGES DECLARÉES À DÉDUIRE DU REVENU BRUT GLOBAL (FOYERS FISCAUX IMPOSABLES ET NON IMPOSABLES) 2009
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPÔT SUR LE REVENU (revenus de 2008) MONTANT DES CRÉDITS D'IMPÔT IMPUTÉS ET RESTITUÉS (FOYERS FISCAUX IMPOSABLES ET NON IMPOSABLES) 2009;;IMPÔT SUR LE REVENU - MONTANT DES CREDITS D'IMPOT IMPUTES ET RESTITUES (FOYERS FISCAUX IMPOSABLES ET NON IMPOSABLES);IMPÔT SUR LE REVENU (revenus de 2008) MONTANT DES CRÉDITS D'IMPÔT IMPUTÉS ET RESTITUÉS (FOYERS FISCAUX IMPOSABLES ET NON IMPOSABLES) 2009
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPÔT SUR LE REVENU (revenus de 2008) NOMBRE DE FOYERS BÉNÉFICIAIRES DE LA PRIME POUR L'EMPLOI ET MONTANTS CORRESPONDANTS (FOYERS FISCAUX IMPOSABLES ET NON IMPOSABLES) 2009;;IMPÔT SUR LE REVENU - NOMBRE DE FOYERS BENEFICIAIRES DE LA PRIME POUR L'EMPLOI ET MONTANTS CORRESPONDANTS (FOYERS FISCAUX IMPOSABLES ET NON IMPOSABLES);IMPÔT SUR LE REVENU (revenus de 2008) NOMBRE DE FOYERS BÉNÉFICIAIRES DE LA PRIME POUR L'EMPLOI ET MONTANTS CORRESPONDANTS (FOYERS FISCAUX IMPOSABLES ET NON IMPOSABLES) 2009
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPÔT SUR LE REVENU (revenus de 2008) RÉPARTITION DE L'ENSEMBLE DES FOYERS (IMPOSABLES ET NON IMPOSABLES) PAR TRANCHE DU BARÈME 2009;;IMPÔT SUR LE REVENU - RÉPARTITION DE L'ENSEMBLE DES FOYERS (IMPOSABLES ET NON IMPOSABLES) PAR TRANCHE DU BARÊME;IMPÔT SUR LE REVENU (revenus de 2008) RÉPARTITION DE L'ENSEMBLE DES FOYERS (IMPOSABLES ET NON IMPOSABLES) PAR TRANCHE DU BARÈME 2009
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPÔT SUR LE REVENU (revenus de 2008) RÉPARTITION DES BASES D'IMPOSITION PAR REVENU CATÉGORIEL DECLARÉ (FOYERS DÉCLARANTS IMPOSABLES ET NON IMPOSABLES) 2009;;IMPÔT SUR LE REVENU - REPARTITION DES BASES D'IMPOSITION PAR REVENU CATEGORIEL DECLARE (FOYERS DECLARANTS IMPOSABLES ET NON IMPOSABLES);IMPÔT SUR LE REVENU (revenus de 2008) RÉPARTITION DES BASES D'IMPOSITION PAR REVENU CATÉGORIEL DECLARÉ (FOYERS DÉCLARANTS IMPOSABLES ET NON IMPOSABLES) 2009
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPÔT SUR LE REVENU (revenus de 2008) RÉPARTITION DES FOYERS FISCAUX IMPOSABLES PAR NOMBRE DE PARTS ET PAR TRANCHE DE REVENU 2009;;IMPÔT SUR LE REVENU - RÉPARTITION DES FOYERS FISCAUX IMPOSABLES PAR NOMBRE DE PARTS ET PAR TRANCHE DE REVENU;IMPÔT SUR LE REVENU (revenus de 2008) RÉPARTITION DES FOYERS FISCAUX IMPOSABLES PAR NOMBRE DE PARTS ET PAR TRANCHE DE REVENU 2009
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPÔT SUR LE REVENU (revenus de 2008) RÉPARTITION DES FOYERS FISCAUX NON IMPOSABLES PAR NOMBRE DE PARTS ET PAR TRANCHE DE REVENU 2009;;IMPÔT SUR LE REVENU - RÉPARTITION DES FOYERS FISCAUX NON IMPOSABLES PAR NOMBRE DE PARTS ET PAR TRANCHE DE REVENU;IMPÔT SUR LE REVENU (revenus de 2008) RÉPARTITION DES FOYERS FISCAUX NON IMPOSABLES PAR NOMBRE DE PARTS ET PAR TRANCHE DE REVENU 2009
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPÔT SUR LE REVENU (revenus de 2008) RÉPARTITION DES FOYERS FISCAUX SELON LES DIFFÉRENTS REVENUS CATÉGORIELS 2009;;IMPÔT SUR LE REVENU - REPARTITION DES FOYERS FISCAUX SELON LES DIFFERENTS REVENUS CATEGORIELS;IMPÔT SUR LE REVENU (revenus de 2008) RÉPARTITION DES FOYERS FISCAUX SELON LES DIFFÉRENTS REVENUS CATÉGORIELS 2009
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPÔT SUR LE REVENU (revenus de 2008) RÉPARTITION ENTRE IMPOSABLES ET NON IMPOSABLES DU NOMBRE DE FOYERS, DU MONTANT DU REVENU FISCAL DE RÉFÉRENCE ET DE L' IMPÔT CORRESPONDANT 2009;;IMPÔT SUR LE REVENU - REPARTITION ENTRE IMPOSABLES ET NON IMPOSABLES DU NOMBRE DE FOYERS, DU MONTANT DU REVENU FISCAL DE REFERENCE ET DE L' IMPOT CORRESPONDANT;IMPÔT SUR LE REVENU (revenus de 2008) RÉPARTITION ENTRE IMPOSABLES ET NON IMPOSABLES DU NOMBRE DE FOYERS, DU MONTANT DU REVENU FISCAL DE RÉFÉRENCE ET DE L' IMPÔT CORRESPONDANT 2009
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPÔT SUR LE REVENU (revenus de 2008) RÉPARTITION PAR TRANCHE D'IMPÔT NET 2009;;IMPÔT SUR LE REVENU - RÉPARTITION PAR TRANCHE D'IMPOT NET;IMPÔT SUR LE REVENU (revenus de 2008) RÉPARTITION PAR TRANCHE D'IMPÔT NET 2009
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPÔT SUR LE REVENU - CONTRIBUTIONS SOCIALES TAUX DE PAIEMENT PAR TITRE INTERBANCAIRE DE PAIEMENT (1) - ANNÉE 2009;;IMPÔT SUR LE REVENU - CONTRIBUTIONS SOCIALES TAUX DE PAIEMENT PAR TITRE INTERBANCAIRE DE PAIEMENT (1);IMPÔT SUR LE REVENU - CONTRIBUTIONS SOCIALES TAUX DE PAIEMENT PAR TITRE INTERBANCAIRE DE PAIEMENT (1) - ANNÉE 2009
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPÔT SUR LE REVENU - CONTRIBUTIONS SOCIALES TAUX DE PAIEMENT PAR TITRE INTERBANCAIRE DE PAIEMENT (1) ANNÉE 2008;;IMPÔT SUR LE REVENU - CONTRIBUTIONS SOCIALES TAUX DE PAIEMENT PAR TITRE INTERBANCAIRE DE PAIEMENT (1);IMPÔT SUR LE REVENU - CONTRIBUTIONS SOCIALES TAUX DE PAIEMENT PAR TITRE INTERBANCAIRE DE PAIEMENT (1) ANNÉE 2008
Ministère de l'Économie et des Finances;Études statistiques en matière fiscale;IMPÔT SUR LES SOCIÉTÉS RÉPARTITION SECTORIELLE DU NOMBRE DE SOCIÉTÉS PASSIBLES DE L'IS - ANNÉE 2009 -;;IMPOT SUR LES SOCIETES REPARTITION SECTORIELLE DU NOMBRE DE SOCIETES PASSIBLES DE L'IS;IMPÔT SUR LES SOCIÉTÉS RÉPARTITION SECTORIELLE DU NOMBRE DE SOCIÉTÉS PASSIBLES DE L'IS - ANNÉE 2009 -
